Date,WALMEX.MX,AMXL.MX,BIMBOA.MX,CEMEXCPO.MX,GMEXICOB.MX,FEMSAUBD.MX,PE&OLES.MX,TLEVICPO.MX,GFINBURO.MX,ELEKTRA.MX,AC.MX,ALFAA.MX,ALSEA.MX,BBAJIOO.MX,BOLSAA.MX,GCC.MX,GENTERA.MX,GFNORTEO.MX,GCARSOA1.MX,GRUMAB.MX,KIMBERA.MX,LABB.MX,LIVEPOLC-1.MX,MEGACPO.MX,MEXCHEM.MX,OMAB.MX,PINFRA.MX,RA.MX,SANMEXB.MX,TLEVISACPO.MX,VASCONI.MX,VITROA.MX
2003-01-01 00:00:00,5.87994909286499,,3.8475000858306885,7.59633207321167,1.1868499517440796,11.987645149230957,19.25,,4.349999904632568,25.700000762939453,20.0,1.5284019708633423,1.789801001548767,,,7.800000190734863,,6.375,4.17196798324585,9.23081111907959,8.0,,12.800000190734863,,,,1.100000023841858,,,14.430000305175781,,8.020000457763672
2003-01-02 00:00:00,5.87994909286499,,3.825000047683716,7.777196884155273,1.2332919836044312,12.009767532348633,19.25,,4.400000095367432,25.889999389648438,20.0,1.5512410402297974,1.789801001548767,,,7.800000190734863,,6.502500057220459,4.17196798324585,9.532027244567871,8.033332824707031,,12.800000190734863,,,,1.100000023841858,,,15.100000381469727,,8.020000457763672
2003-01-03 00:00:00,5.872546195983887,,3.742500066757202,7.800861835479736,1.221940040588379,11.987645149230957,19.969999313354492,,4.494999885559082,24.799999237060547,20.0,1.542104959487915,1.789801001548767,,,7.800000190734863,,6.672500133514404,4.17196798324585,9.532027244567871,7.996665954589844,,12.800000190734863,,,,1.100000023841858,,,15.319999694824219,,8.020000457763672
2003-01-06 00:00:00,6.10448694229126,,3.630000114440918,7.880307197570801,1.2281320095062256,11.927596092224121,20.399999618530273,,4.460000038146973,25.059999465942383,20.0,1.5457600355148315,1.789801001548767,,,7.789999961853027,,6.699999809265137,4.17196798324585,9.532027244567871,8.083333015441895,,12.800000190734863,,,,1.100000023841858,,,15.5,,8.050000190734863
2003-01-07 00:00:00,5.963841915130615,,3.6449999809265137,7.763675212860107,1.213683009147644,11.880188941955566,20.299999237060547,,4.434999942779541,24.940000534057617,20.0,1.5402779579162598,1.789801001548767,,,7.789999961853027,,6.722499847412109,4.17196798324585,9.532027244567871,8.113332748413086,,12.800000190734863,,,,1.100000023841858,,,15.319999694824219,,8.050000190734863
2003-01-08 00:00:00,5.93423318862915,,3.6624999046325684,7.878616809844971,1.2023309469223022,11.832781791687012,20.790000915527344,,4.480000019073486,24.219999313354492,20.0,1.5375380516052246,1.728924036026001,,,7.789999961853027,,6.554999828338623,4.17196798324585,9.532027244567871,8.16333293914795,,12.800000190734863,,,,1.100000023841858,,,15.039999961853027,,8.050000190734863
2003-01-09 00:00:00,5.9613752365112305,,3.752500057220459,7.993558883666992,1.2178109884262085,11.883349418640137,21.5,,4.554999828338623,24.149999618530273,20.0,1.5558090209960938,1.728924036026001,,,7.789999961853027,,6.550000190734863,4.17196798324585,9.532027244567871,8.25333309173584,,12.800000190734863,,,,1.100000023841858,,,15.390000343322754,,8.050000190734863
2003-01-10 00:00:00,6.069942951202393,,3.7125000953674316,8.078076362609863,1.2281320095062256,11.899151802062988,22.209999084472656,,4.590000152587891,23.799999237060547,20.0,1.5676850080490112,1.728924036026001,,,7.789999961853027,,6.462500095367432,4.17196798324585,8.744977951049805,8.166666030883789,,12.800000190734863,,,,1.100000023841858,,,15.539999961853027,,8.050000190734863
2003-01-13 00:00:00,6.237730026245117,,3.700000047683716,8.169352531433105,1.213683009147644,11.848584175109863,22.0,,4.409999847412109,23.799999237060547,20.0,1.5457600355148315,1.728924036026001,,,7.789999961853027,,6.46750020980835,4.17196798324585,8.744977951049805,8.146665573120117,,12.800000190734863,,,,1.100000023841858,,,15.380000114440918,,8.050000190734863
2003-01-14 00:00:00,6.237730026245117,,3.7249999046325684,8.122023582458496,1.263221025466919,11.883349418640137,21.780000686645508,,4.489999771118164,24.299999237060547,20.0,1.5676850080490112,1.728924036026001,,,7.769999980926514,,6.552499771118164,4.17196798324585,8.744977951049805,8.109999656677246,,12.350000381469727,,,,1.100000023841858,,,15.640000343322754,,8.050000190734863
2003-01-15 00:00:00,6.245131969451904,,3.7200000286102295,7.97834587097168,1.3303040266036987,12.117223739624023,20.739999771118164,,4.349999904632568,23.889999389648438,17.010000228881836,1.5539820194244385,1.728924036026001,,,7.5,,6.40500020980835,4.31049108505249,8.744977951049805,8.0,,12.350000381469727,,,,1.100000023841858,,,15.220000267028809,,8.050000190734863
2003-01-16 00:00:00,6.1464338302612305,,3.6424999237060547,7.880307197570801,1.3251440525054932,11.975003242492676,21.5,,4.349999904632568,24.100000381469727,17.010000228881836,1.5603770017623901,1.7045730352401733,,,7.699999809265137,,6.472499847412109,4.31049108505249,8.744977951049805,7.866665840148926,,12.0,,,,1.100000023841858,,,15.180000305175781,,8.050000190734863
2003-01-17 00:00:00,5.981114864349365,,3.627500057220459,7.797481060028076,1.333400011062622,11.902312278747559,20.5,,4.255000114440918,23.700000762939453,17.010000228881836,1.5302289724349976,1.7045730352401733,,,7.699999809265137,,6.364999771118164,4.31049108505249,8.744977951049805,7.733333110809326,,12.0,,,,1.100000023841858,,,14.819999694824219,,8.050000190734863
